ticker,year,roe,lucro_liquido,margem_liquida,receita_liquida,divida_liquida,ebitda,divida_ebitda,market_cap,p_l,cagr_lucro
ALUP4,2024,15.8648,1.859906E+9,46.4732,4.002104E+9,2.6384262E+10,,,,,2.5311
AMAR3,2019,-7.9127,-1.12361E+8,-3.8981,2.882422E+9,5.280249E+9,,,,,
AMAR3,2020,-43.5715,-4.32196E+8,-20.2016,2.139417E+9,4.40978E+9,,,,,
AMAR3,2021,-7.1788,-7.1754E+7,-2.8412,2.525448E+9,4.637658E+9,,,,,
AMAR3,2022,-100.425,-5.19382E+8,-18.8872,2.749921E+9,4.503257E+9,,,,,
AMAR3,2023,-111510.2784,-5.20753E+8,-31.6356,1.646097E+9,3.00055E+9,,,,,
AMAR3,2024,-110.954,-3.15784E+8,-22.6829,1.392169E+9,2.464204E+9,,,,,
AMBP3,2019,16.9706,3.5468E+7,7.3223,4.84385E+8,8.51547E+8,,,,,
AMBP3,2020,4.0402,4.9523E+7,7.0585,7.01612E+8,-1.27078E+8,,,,,
AMBP3,2021,12.943,1.68871E+8,8.8122,1.916332E+9,5.673456E+9,,,,,
AMBP3,2022,8.3679,1.08745E+8,2.8694,3.789791E+9,1.9534453E+10,,,,,
AMBP3,2023,2.1677,5.6649E+7,1.1626,4.872707E+9,2.0989314E+10,,,,,
AMBP3,2024,-6.301,-1.72178E+8,-2.6845,6.413676E+9,2.1130868E+10,,,,,
AMER11,2019,-5.5496,-3.18238E+8,-4.7021,6.767982E+9,2.2795077E+10,,,,,
AMER11,2020,-2.2218,-2.10758E+8,-2.0817,1.0124347E+10,2.4629228E+10,,,,,
AMER11,2021,3.4177,5.43795E+8,2.396,2.2695861E+10,5.3549596E+10,,,,,
AMER11,2022,48.4184,-1.2911538E+10,-50.0275,2.5808906E+10,1.14285518E+11,,,,,
AMER11,2023,7.8752,-2.272E+9,-15.2055,1.4942E+10,1.2545E+11,,,,,
AMER11,2024,166.6197,8.281E+9,57.7113,1.4349E+10,1.5937E+10,,,,,
AMER3,2019,-5.5496,-3.18238E+8,-4.7021,6.767982E+9,2.2795077E+10,,,,,
AMER3,2020,-2.2218,-2.10758E+8,-2.0817,1.0124347E+10,2.4629228E+10,,,,,
AMER3,2021,3.4177,5.43795E+8,2.396,2.2695861E+10,5.3549596E+10,,,,,
AMER3,2022,48.4184,-1.2911538E+10,-50.0275,2.5808906E+10,1.14285518E+11,,,,,
AMER3,2023,7.8752,-2.272E+9,-15.2055,1.4942E+10,1.2545E+11,,,,,
AMER3,2024,166.6197,8.281E+9,57.7113,1.4349E+10,1.5937E+10,,,,,
AMOB3,2023,5.6097,8.9403E+7,3.5243,2.536766E+9,3.524145E+9,,,,,
AMOB3,2024,-4.581,-1.05482E+8,-0.8618,1.2240032E+10,1.0793791E+10,,,,,
ANIM3,2019,-1.3894,-9.593E+6,-0.8119,1.181499E+9,4.377558E+9,,,,,
ANIM3,2020,-1.609,-4.0651E+7,-2.8587,1.421989E+9,4.522691E+9,,,,,
ANIM3,2021,-3.3713,-8.1328E+7,-3.068,2.650805E+9,1.7773666E+10,,,,,
ANIM3,2022,0.3578,1.1454E+7,0.3214,3.563231E+9,1.6011493E+10,,,,,
ANIM3,2023,-7.4605,-2.13172E+8,-5.7106,3.73294E+9,1.4484483E+10,,,,,
ANIM3,2024,7.3535,2.04444E+8,5.3782,3.801379E+9,1.5650871E+10,,,,,
APTI3,2019,-7.7766,-1.8396E+7,-41.3087,4.4533E+7,1.99179E+8,,,,,
APTI3,2020,25.0307,6.5421E+7,367.0182,1.7825E+7,1.72201E+8,,,,,
APTI3,2021,-5.5105,-1.2809E+7,-53.0525,2.4144E+7,1.77687E+8,,,,,
APTI3,2022,-12.1653,-2.5231E+7,-60.8768,4.1446E+7,1.97707E+8,,,,,
APTI3,2023,7.2602,1.6178E+7,46.8778,3.4511E+7,2.183E+8,,,,,
APTI3,2024,19.9764,5.1219E+7,133.8044,3.8279E+7,2.35898E+8,,,,,
APTI4,2019,-7.7766,-1.8396E+7,-41.3087,4.4533E+7,1.99179E+8,,,,,
APTI4,2020,25.0307,6.5421E+7,367.0182,1.7825E+7,1.72201E+8,,,,,
APTI4,2021,-5.5105,-1.2809E+7,-53.0525,2.4144E+7,1.77687E+8,,,,,
APTI4,2022,-12.1653,-2.5231E+7,-60.8768,4.1446E+7,1.97707E+8,,,,,
APTI4,2023,7.2602,1.6178E+7,46.8778,3.4511E+7,2.183E+8,,,,,
APTI4,2024,19.9764,5.1219E+7,133.8044,3.8279E+7,2.35898E+8,,,,,
ARML3,2019,39.6555,9.164E+6,14.9314,6.1374E+7,1.38855E+8,,,,,
ARML3,2020,20.6125,1.7533E+7,15.7538,1.11294E+8,5.34988E+8,,,,,
ARML3,2021,5.2183,5.8064E+7,14.8976,3.89754E+8,7.625853E+9,,,,,
ARML3,2022,12.826,1.48592E+8,15.6124,9.51754E+8,7.771234E+9,,,,,
ARML3,2023,13.2757,1.63283E+8,11.9976,1.360967E+9,4.105668E+9,,,,,
ARML3,2024,13.3972,1.75639E+8,9.9458,1.765969E+9,9.871413E+9,,,,,80.5125
ARND3,2020,17.2114,-8.9E+5,-2.1289,4.1806E+7,-1.405E+6,,,,,
ARND3,2021,-14.2998,-4.1004E+7,-65.6747,6.2435E+7,-2.93276E+8,,,,,
ARND3,2022,-5.6834,-1.5843E+7,-27.7811,5.7028E+7,-1.72705E+8,,,,,
ARND3,2023,1.3152,3.687E+6,5.9758,6.1699E+7,-1.7365E+7,,,,,
ARND3,2024,10.9484,3.3665E+7,56.0299,6.0084E+7,7.4E+4,,,,,
ASAI3,2019,10.9267,1.06E+9,3.5062,3.0232E+10,1.7908E+10,,,,,
